step,body_id,x,y,z
100,91,1.49405e+11,-2.23586e+09,2.49827e+07
100,92,1.53588e+11,5.02443e+09,-8.09726e+06
100,93,1.50995e+11,-6.16644e+08,4.62374e+07
100,94,1.45777e+11,3.42868e+09,1.17397e+07
100,95,1.51474e+11,1.04798e+09,1.70415e+07
100,96,1.52183e+11,3.12981e+09,-591414
100,97,1.48459e+11,1.55196e+09,-9.21557e+06
100,98,1.52968e+11,5.7571e+09,1.6172e+07
100,99,1.51905e+11,2.21775e+09,-1.80684e+06
100,100,1.47307e+11,-2.67256e+09,-8.76039e+06
100,101,1.49529e+11,6.24368e+09,1.94837e+07
100,102,1.5207e+11,3.4891e+09,6.33037e+06
100,103,1.50719e+11,-1.73116e+07,-5.64441e+07
100,104,1.54815e+11,1.80403e+09,-2.88866e+07
100,105,-1.22212e+11,-2.73978e+11,8.56566e+09
100,106,7.40216e+10,3.93091e+11,-6.61282e+09
200,0,296298,1098.89,133.875
200,1,1.9429e+10,4.60767e+10,69.1576
200,2,-2.41709e+10,9.70361e+10,30.6362
200,3,-1.10815e+11,-1.01095e+11,749.684
200,4,1.49881e+11,5.99452e+09,51.8554
200,5,1.56267e+11,1.5355e+10,-7.78263e+07
200,6,1.47176e+11,9.73812e+09,-9.75568e+06
200,7,1.50801e+11,9.06929e+09,-5.28307e+06
200,8,1.45621e+11,3.78255e+09,1.79391e+07
200,9,1.47725e+11,2.50044e+09,1.39436e+07
200,10,1.52135e+11,3.76046e+09,-9.47248e+06
200,11,1.54772e+11,4.2152e+09,-3.66848e+07
200,12,1.48844e+11,-5.72135e+09,5.1942e+07
200,13,1.60718e+11,1.1861e+10,5.51347e+07
200,14,1.53488e+11,1.23496e+10,1.4201e+08
200,15,1.4819e+11,-4.91205e+08,-1.10699e+08
200,16,1.50361e+11,1.69762e+08,-1.60818e+07
200,17,1.53047e+11,1.09103e+10,-7.29938e+06
200,18,1.50693e+11,1.74597e+10,-1.19556e+08
200,19,1.53603e+11,1.54157e+09,-2.06631e+07
200,20,1.52747e+11,8.63862e+08,-5.02385e+07
200,21,1.53098e+11,5.1618e+09,1.38855e+07
200,22,1.49962e+11,2.72869e+09,-1.32718e+06
200,23,1.50164e+11,1.41394e+10,-8.75087e+07
200,24,1.43253e+11,1.51712e+10,2.36321e+08
200,25,1.5343e+11,8.71509e+09,1.78964e+07
200,26,1.55569e+11,4.72363e+09,4.10445e+07
200,27,1.44782e+11,4.86541e+09,4.73348e+07
200,28,1.49884e+11,9.46115e+08,1.85604e+07
200,29,1.46616e+11,1.23872e+10,-6.08586e+06
200,30,1.43449e+11,-9.82184e+07,1.02918e+07
200,31,1.45972e+11,7.33006e+09,-3.96006e+07
200,32,1.60158e+11,6.9801e+09,-7.94631e+07
200,33,1.46695e+11,1.09377e+10,-1.02221e+07
200,34,1.44248e+11,5.96172e+09,9.13063e+06
200,35,1.4584e+11,9.08645e+09,2.29739e+07
200,36,1.51526e+11,1.25499e+10,8.96868e+07
200,37,1.46872e+11,4.18246e+09,-1.33136e+07
200,38,1.51378e+11,1.73371e+09,-361839
200,39,1.41276e+11,1.18932e+10,5.67366e+07
200,40,1.56398e+11,1.3776e+09,1.06857e+08
200,41,1.5441e+11,6.81845e+09,1.79191e+07
200,42,1.57369e+11,3.12161e+09,-4.87032e+07
200,43,1.49613e+11,-5.76092e+09,-1.29558e+08
200,44,1.49633e+11,-3.30075e+09,8.58266e+07
200,45,1.48296e+11,-1.30537e+09,9.26434e+07
200,46,1.52246e+11,1.87498e+09,-2.3965e+07
200,47,1.553e+11,1.24417e+10,-2.04642e+06
200,48,1.46287e+11,5.48547e+09,-1.18042e+07
200,49,1.51665e+11,1.26776e+10,4.16013e+06
200,50,1.45745e+11,1.14365e+10,-1.6019e+07
200,51,1.38505e+11,-2.6294e+06,3.5994e+07
200,52,1.47288e+11,9.75825e+09,7.17199e+06
200,53,1.56702e+11,-4.79378e+09,7.08285e+07
200,54,1.4029e+11,-1.64422e+09,1.03625e+08
200,55,1.49438e+11,-1.30361e+09,1.27519e+07
200,56,1.53983e+11,9.2643e+09,-3.49676e+06
200,57,1.56017e+11,1.65113e+09,1.73325e+06
200,58,1.52099e+11,1.98773e+09,-2.53602e+07
200,59,1.4946e+11,-1.134e+09,3.06982e+07
200,60,1.56368e+11,3.73298e+09,8.93103e+07
200,61,1.37957e+11,7.35519e+09,5.95669e+07
200,62,1.44172e+11,7.49856e+09,-2.96831e+06
200,63,1.42737e+11,8.6785e+09,4.16581e+06
200,64,1.52519e+11,2.65044e+09,-3.43319e+07
200,65,1.53192e+11,3.3549e+09,2.8653e+07
200,66,1.52826e+11,1.75807e+10,8.9322e+07
200,67,1.4852e+11,-6.59228e+08,-3.3881e+07
200,68,1.45322e+11,4.59071e+09,6.64317e+07
200,69,1.4409e+11,4.04058e+09,-4.97635e+07
200,70,1.54281e+11,6.61712e+09,-1.13317e+07
200,71,1.52181e+11,2.78867e+09,-450144
200,72,1.46901e+11,6.76066e+09,-6.79512e+06
200,73,1.44939e+11,-1.57925e+09,-9.64213e+07
200,74,1.43126e+11,1.73255e+10,1.06302e+08
200,75,1.5479e+11,5.49016e+09,389619
200,76,1.49355e+11,1.212e+10,-4.95409e+07
200,77,1.58353e+11,1.37423e+10,2.94459e+07
200,78,1.42857e+11,8.07002e+09,1.00068e+08
200,79,1.43999e+11,-3.83573e+09,-2.58253e+07
200,80,1.51591e+11,2.13962e+09,-5.29777e+06
200,81,1.54052e+11,-3.44364e+09,-1.31488e+08
200,82,1.4955e+11,1.05286e+10,-1.6162e+07
200,83,1.50254e+11,1.59784e+10,-1.08756e+08
200,84,1.52685e+11,6.67184e+09,-8.81066e+06
200,85,1.50047e+11,2.81094e+09,1.098e+07
200,86,1.47042e+11,7.5945e+09,2.29711e+07
200,87,1.4908e+11,2.8592e+09,1.22083e+07
200,88,1.45268e+11,8.27872e+09,-3.81806e+07
200,89,1.43745e+11,-4.0197e+08,2.65986e+07
200,90,1.5465e+11,6.08593e+09,1.3667e+06
200,91,1.49054e+11,-4.31857e+09,4.84519e+07
200,92,1.56673e+11,1.01532e+10,-1.52614e+07
200,93,1.52177e+11,-8.01318e+08,8.56564e+07
200,94,1.41773e+11,6.46449e+09,2.21874e+07
200,95,1.52876e+11,2.93514e+09,2.63732e+07
200,96,1.53464e+11,6.75403e+09,-821326
200,97,1.47902e+11,3.25465e+09,-1.19129e+07
200,98,1.55402e+11,1.15076e+10,3.03875e+07
200,99,1.53164e+11,5.29359e+09,-2.31926e+06
200,100,1.44851e+11,-5.34108e+09,-1.71829e+07
200,101,1.48658e+11,1.19331e+10,3.47449e+07
200,102,1.53126e+11,7.32858e+09,8.47305e+06
200,103,1.51668e+11,5.24577e+08,-9.91594e+07
200,104,1.59417e+11,3.91993e+09,-5.57473e+07
200,105,-1.20283e+11,-2.74831e+11,8.56502e+09
200,106,7.22256e+10,3.93425e+11,-6.61261e+09
300,0,665413,6914.78,300.708
300,1,1.45737e+10,4.78377e+10,155.541
300,2,-2.76993e+10,9.6089e+10,69.992
300,3,-1.08782e+11,-1.03279e+11,1697.26
300,4,1.49732e+11,8.97391e+09,115.358
300,5,1.59139e+11,2.29903e+10,-1.15544e+08
300,6,1.4572e+11,1.40418e+10,-1.30765e+07
300,7,1.50521e+11,1.2988e+10,-5.65513e+06
300,8,1.4386e+11,5.62137e+09,2.43239e+07
300,9,1.4705e+11,4.03419e+09,1.78819e+07
300,10,1.52864e+11,6.43802e+09,-1.0004e+07
300,11,1.56783e+11,6.68033e+09,-5.07543e+07
300,12,1.48319e+11,-8.49594e+09,7.71848e+07
300,13,1.65847e+11,1.78376e+10,8.20203e+07
300,14,1.54862e+11,1.83821e+10,2.06176e+08
300,15,1.4746e+11,-5.30877e+08,-1.5937e+08
300,16,1.50651e+11,5.9882e+08,-2.27381e+07
300,17,1.54109e+11,1.61814e+10,-1.03212e+07
300,18,1.5081e+11,2.60611e+10,-1.7756e+08
300,19,1.55274e+11,2.70826e+09,-2.91829e+07
300,20,1.54067e+11,1.68679e+09,-7.10949e+07
300,21,1.53969e+11,8.2755e+09,1.54213e+07
300,22,1.50225e+11,4.81168e+09,-1.42902e+06
300,23,1.49979e+11,2.09855e+10,-1.28088e+08
300,24,1.39744e+11,2.25578e+10,3.50815e+08
300,25,1.54494e+11,1.29862e+10,2.37413e+07
300,26,1.57985e+11,7.36593e+09,5.80055e+07
300,27,1.42523e+11,7.12102e+09,6.55302e+07
300,28,1.49996e+11,1.82132e+09,2.55016e+07
300,29,1.44777e+11,1.82472e+10,-8.8212e+06
300,30,1.40321e+11,-1.54534e+08,1.51364e+07
300,31,1.44276e+11,1.05051e+10,-5.09196e+07
300,32,1.65004e+11,1.05834e+10,-1.17641e+08
300,33,1.44944e+11,1.59787e+10,-1.44665e+07
300,34,1.41639e+11,8.69126e+09,1.28288e+07
300,35,1.43839e+11,1.31542e+10,3.16205e+07
300,36,1.51941e+11,1.8584e+10,1.29237e+08
300,37,1.45973e+11,6.28687e+09,-1.55334e+07
300,38,1.5209e+11,3.13605e+09,-481953
300,39,1.36848e+11,1.76218e+10,8.40162e+07
300,40,1.5944e+11,2.3178e+09,1.56201e+08
300,41,1.56016e+11,1.04034e+10,2.39997e+07
300,42,1.60835e+11,4.90547e+09,-7.12129e+07
300,43,1.49467e+11,-8.54618e+09,-1.92521e+08
300,44,1.49521e+11,-4.80132e+09,1.2653e+08
300,45,1.47583e+11,-1.77851e+09,1.34746e+08
300,46,1.53295e+11,3.32562e+09,-3.24058e+07
300,47,1.57611e+11,1.85991e+10,-3.00183e+06
300,48,1.45018e+11,7.9498e+09,-1.41149e+07
300,49,1.52152e+11,1.87873e+10,6.00924e+06
300,50,1.43532e+11,1.67964e+10,-2.31087e+07
300,51,1.32799e+11,-8.70429e+07,5.35837e+07
300,52,1.45877e+11,1.40642e+10,9.58217e+06
300,53,1.60027e+11,-7.05454e+09,1.0544e+08
300,54,1.35497e+11,-2.51832e+09,1.54119e+08
300,55,1.49269e+11,-1.73514e+09,1.85141e+07
300,56,1.55424e+11,1.38261e+10,-4.84615e+06
300,57,1.58855e+11,2.74743e+09,2.52312e+06
300,58,1.5308e+11,3.51839e+09,-3.3914e+07
300,59,1.49307e+11,-1.4717e+09,4.44756e+07
300,60,1.59279e+11,5.8589e+09,1.28912e+08
300,61,1.31925e+11,1.08701e+10,8.85485e+07
300,62,1.41432e+11,1.09247e+10,-4.20289e+06
300,63,1.39161e+11,1.27469e+10,6.0689e+06
300,64,1.53608e+11,4.55669e+09,-4.47297e+07
300,65,1.54482e+11,5.58207e+09,3.72395e+07
300,66,1.54e+11,2.62767e+10,1.32785e+08
300,67,1.47941e+11,-7.73707e+08,-4.88455e+07
300,68,1.43401e+11,6.73978e+09,8.99199e+07
300,69,1.41413e+11,5.93903e+09,-7.08221e+07
300,70,1.55807e+11,1.01279e+10,-1.49978e+07
300,71,1.53116e+11,4.82345e+09,-566413
300,72,1.45913e+11,9.52776e+09,-6.88519e+06
300,73,1.42543e+11,-2.32292e+09,-1.41955e+08
300,74,1.39533e+11,2.58217e+10,1.58332e+08
300,75,1.567e+11,8.5256e+09,532340
300,76,1.48755e+11,1.78237e+10,-7.05714e+07
300,77,1.62272e+11,2.06149e+10,4.37317e+07
300,78,1.39371e+11,1.18359e+10,1.45295e+08
300,79,1.41079e+11,-5.73667e+09,-3.8349e+07
300,80,1.52365e+11,3.80016e+09,-6.87375e+06
300,81,1.56069e+11,-4.99254e+09,-1.94655e+08
300,82,1.48986e+11,1.52741e+10,-2.15621e+07
300,83,1.5014e+11,2.38029e+10,-1.60813e+08
300,84,1.53018e+11,1.02181e+10,-8.01235e+06
300,85,1.50342e+11,4.96733e+09,1.14985e+07
300,86,1.45914e+11,1.06746e+10,2.50921e+07
300,87,1.49093e+11,4.88626e+09,1.31912e+07
300,88,1.4306e+11,1.19896e+10,-5.26894e+07
300,89,1.40764e+11,-5.98441e+08,3.91198e+07
300,90,1.56435e+11,9.37616e+09,1.85008e+06
300,91,1.48647e+11,-6.36364e+09,7.17326e+07
300,92,1.59651e+11,1.52473e+10,-2.2304e+07
300,93,1.53278e+11,-9.1523e+08,1.24154e+08
300,94,1.37761e+11,9.49352e+09,3.24654e+07
300,95,1.54081e+11,4.96786e+09,3.44298e+07
300,96,1.54422e+11,1.03251e+10,-988293
300,97,1.47475e+11,5.20837e+09,-1.34512e+07
300,98,1.57736e+11,1.721e+10,4.43466e+07
